user_id,variant,converted
U00001,treatment,0
U00002,treatment,0
U00003,control,0
U00004,treatment,0
U00005,control,0
U00006,control,0
U00007,control,0
U00008,treatment,0
U00009,control,1
U00010,treatment,0
U00011,treatment,0
U00012,control,0
U00013,treatment,0
U00014,control,0
U00015,treatment,1
U00016,control,0
U00017,treatment,0
U00018,control,0
U00019,control,0
U00020,control,0
U00021,control,0
U00022,control,0
U00023,control,0
U00024,treatment,0
U00025,control,0
U00026,treatment,0
U00027,treatment,0
U00028,treatment,0
U00029,control,0
U00030,treatment,0
U00031,control,0
U00032,treatment,0
U00033,treatment,0
U00034,treatment,0
U00035,control,0
U00036,treatment,0
U00037,treatment,0
U00038,treatment,0
U00039,control,0
U00040,control,1
U00041,treatment,0
U00042,control,0
U00043,control,0
U00044,control,0
U00045,control,0
U00046,control,0
U00047,treatment,1
U00048,control,0
U00049,control,0
U00050,control,0
U00051,treatment,0
U00052,treatment,0
U00053,treatment,0
U00054,control,0
U00055,control,0
U00056,treatment,0
U00057,treatment,0
U00058,treatment,0
U00059,control,0
U00060,treatment,0
U00061,control,0
U00062,treatment,0
U00063,treatment,0
U00064,treatment,0
U00065,control,0
U00066,control,0
U00067,treatment,0
U00068,control,0
U00069,control,0
U00070,treatment,1
U00071,control,0
U00072,treatment,0
U00073,treatment,0
U00074,control,0
U00075,treatment,0
U00076,treatment,0
U00077,control,0
U00078,control,0
U00079,treatment,1
U00080,treatment,0
U00081,control,0
U00082,control,0
U00083,control,0
U00084,treatment,0
U00085,control,0
U00086,control,0
U00087,treatment,0
U00088,treatment,0
U00089,treatment,0
U00090,treatment,0
U00091,treatment,0
U00092,control,0
U00093,treatment,0
U00094,control,0
U00095,control,0
U00096,control,0
U00097,treatment,0
U00098,control,0
U00099,treatment,0
U00100,control,0
U00101,control,0
U00102,control,0
U00103,treatment,0
U00104,control,0
U00105,control,0
U00106,treatment,0
U00107,control,0
U00108,control,0
U00109,control,0
U00110,treatment,0
U00111,treatment,0
U00112,control,0
U00113,control,0
U00114,control,0
U00115,treatment,0
U00116,treatment,0
U00117,treatment,0
U00118,treatment,0
U00119,treatment,0
U00120,treatment,0
U00121,treatment,0
U00122,control,0
U00123,treatment,1
U00124,control,0
U00125,treatment,1
U00126,treatment,0
U00127,control,0
U00128,control,0
U00129,treatment,1
U00130,control,0
U00131,treatment,0
U00132,treatment,0
U00133,treatment,0
U00134,treatment,0
U00135,control,0
U00136,treatment,0
U00137,control,0
U00138,control,0
U00139,control,0
U00140,treatment,0
U00141,control,0
U00142,control,0
U00143,treatment,0
U00144,treatment,0
U00145,treatment,0
U00146,treatment,0
U00147,treatment,0
U00148,control,0
U00149,control,0
U00150,treatment,0
U00151,treatment,0
U00152,treatment,0
U00153,treatment,0
U00154,treatment,0
U00155,control,0
U00156,treatment,0
U00157,treatment,0
U00158,treatment,0
U00159,control,0
U00160,control,0
U00161,control,0
U00162,treatment,0
U00163,control,0
U00164,treatment,0
U00165,treatment,0
U00166,treatment,0
U00167,treatment,0
U00168,control,0
U00169,treatment,0
U00170,control,0
U00171,treatment,0
U00172,treatment,0
U00173,control,0
U00174,control,0
U00175,treatment,1
U00176,control,0
U00177,treatment,0
U00178,treatment,0
U00179,control,0
U00180,treatment,0
U00181,control,0
U00182,treatment,0
U00183,treatment,0
U00184,treatment,0
U00185,control,0
U00186,control,0
U00187,treatment,0
U00188,treatment,1
U00189,control,0
U00190,treatment,0
U00191,control,0
U00192,control,0
U00193,treatment,0
U00194,treatment,0
U00195,control,0
U00196,control,0
U00197,treatment,0
U00198,treatment,0
U00199,treatment,0
U00200,treatment,0
U00201,treatment,0
U00202,control,0
U00203,treatment,0
U00204,treatment,0
U00205,control,0
U00206,treatment,0
U00207,control,0
U00208,control,0
U00209,treatment,1
U00210,control,0
U00211,control,0
U00212,treatment,0
U00213,treatment,0
U00214,control,0
U00215,control,0
U00216,treatment,0
U00217,control,0
U00218,control,0
U00219,control,0
U00220,control,0
U00221,control,0
U00222,treatment,0
U00223,control,0
U00224,treatment,0
U00225,control,0
U00226,treatment,0
U00227,control,0
U00228,control,0
U00229,treatment,0
U00230,treatment,0
U00231,treatment,0
U00232,control,0
U00233,control,0
U00234,control,0
U00235,treatment,0
U00236,control,0
U00237,treatment,0
U00238,treatment,0
U00239,control,0
U00240,control,0
U00241,control,0
U00242,control,0
U00243,control,0
U00244,control,0
U00245,control,0
U00246,treatment,0
U00247,control,0
U00248,treatment,0
U00249,treatment,0
U00250,treatment,0
U00251,treatment,0
U00252,treatment,0
U00253,control,0
U00254,treatment,0
U00255,treatment,0
U00256,treatment,0
U00257,treatment,0
U00258,treatment,0
U00259,treatment,0
U00260,control,0
U00261,control,0
U00262,control,0
U00263,control,0
U00264,treatment,0
U00265,control,0
U00266,treatment,0
U00267,treatment,0
U00268,control,0
U00269,control,0
U00270,treatment,0
U00271,control,0
U00272,control,0
U00273,control,0
U00274,control,0
U00275,control,0
U00276,treatment,0
U00277,control,0
U00278,control,0
U00279,control,0
U00280,control,0
U00281,control,1
U00282,control,0
U00283,treatment,0
U00284,control,0
U00285,treatment,0
U00286,treatment,0
U00287,control,0
U00288,treatment,0
U00289,control,0
U00290,control,0
U00291,control,0
U00292,treatment,0
U00293,treatment,0
U00294,treatment,0
U00295,treatment,0
U00296,treatment,0
U00297,control,0
U00298,treatment,0
U00299,control,1
U00300,treatment,0
U00301,treatment,0
U00302,treatment,0
U00303,control,0
U00304,treatment,0
U00305,treatment,0
U00306,treatment,0
U00307,treatment,0
U00308,control,1
U00309,treatment,0
U00310,treatment,0
U00311,control,0
U00312,control,0
U00313,control,1
U00314,control,0
U00315,control,0
U00316,treatment,0
U00317,treatment,0
U00318,treatment,0
U00319,control,0
U00320,control,0
U00321,treatment,0
U00322,treatment,0
U00323,control,0
U00324,control,0
U00325,control,0
U00326,treatment,0
U00327,treatment,0
U00328,treatment,0
U00329,control,0
U00330,control,0
U00331,control,0
U00332,treatment,1
U00333,control,0
U00334,control,0
U00335,treatment,0
U00336,control,0
U00337,control,0
U00338,treatment,0
U00339,treatment,0
U00340,control,0
U00341,control,0
U00342,control,1
U00343,treatment,0
U00344,treatment,0
U00345,control,0
U00346,treatment,0
U00347,treatment,0
U00348,control,0
U00349,treatment,0
U00350,treatment,0
U00351,treatment,0
U00352,treatment,0
U00353,treatment,0
U00354,treatment,1
U00355,treatment,0
U00356,treatment,0
U00357,treatment,0
U00358,treatment,0
U00359,control,0
U00360,control,0
U00361,treatment,1
U00362,control,0
U00363,treatment,1
U00364,control,0
U00365,treatment,0
U00366,control,0
U00367,treatment,1
U00368,treatment,0
U00369,control,0
U00370,control,0
U00371,control,0
U00372,treatment,1
U00373,treatment,0
U00374,treatment,0
U00375,treatment,0
U00376,treatment,0
U00377,control,0
U00378,treatment,0
U00379,control,0
U00380,treatment,0
U00381,control,0
U00382,treatment,0
U00383,control,0
U00384,control,0
U00385,treatment,0
U00386,control,0
U00387,control,0
U00388,treatment,0
U00389,control,0
U00390,control,0
U00391,control,0
U00392,control,1
U00393,control,0
U00394,treatment,0
U00395,treatment,0
U00396,treatment,0
U00397,treatment,0
U00398,treatment,0
U00399,control,0
U00400,treatment,0
U00401,control,0
U00402,treatment,0
U00403,treatment,0
U00404,control,0
U00405,control,0
U00406,treatment,0
U00407,treatment,0
U00408,control,0
U00409,treatment,0
U00410,treatment,0
U00411,control,0
U00412,treatment,0
U00413,treatment,0
U00414,treatment,0
U00415,treatment,0
U00416,control,0
U00417,treatment,0
U00418,treatment,0
U00419,control,0
U00420,treatment,0
U00421,control,0
U00422,treatment,0
U00423,control,0
U00424,control,0
U00425,treatment,0
U00426,control,0
U00427,control,0
U00428,control,0
U00429,treatment,1
U00430,control,1
U00431,treatment,0
U00432,control,0
U00433,control,0
U00434,treatment,0
U00435,treatment,0
U00436,control,0
U00437,treatment,0
U00438,control,0
U00439,control,1
U00440,treatment,0
U00441,control,0
U00442,control,0
U00443,control,0
U00444,treatment,0
U00445,control,0
U00446,control,0
U00447,treatment,0
U00448,treatment,0
U00449,control,0
U00450,control,0
U00451,treatment,0
U00452,treatment,0
U00453,control,0
U00454,control,0
U00455,control,0
U00456,control,0
U00457,treatment,0
U00458,control,0
U00459,treatment,0
U00460,treatment,0
U00461,treatment,0
U00462,control,0
U00463,control,0
U00464,treatment,0
U00465,control,0
U00466,treatment,0
U00467,control,0
U00468,treatment,0
U00469,treatment,0
U00470,treatment,0
U00471,treatment,0
U00472,treatment,0
U00473,control,0
U00474,control,0
U00475,control,0
U00476,control,0
U00477,control,0
U00478,control,1
U00479,treatment,0
U00480,control,0
U00481,control,0
U00482,control,0
U00483,treatment,0
U00484,treatment,0
U00485,control,0
U00486,treatment,0
U00487,treatment,0
U00488,control,0
U00489,control,0
U00490,treatment,0
U00491,treatment,0
U00492,control,0
U00493,treatment,0
U00494,treatment,0
U00495,treatment,0
U00496,control,0
U00497,treatment,0
U00498,control,0
U00499,treatment,0
U00500,control,0
U00501,treatment,0
U00502,control,0
U00503,treatment,1
U00504,control,0
U00505,control,1
U00506,control,0
U00507,control,0
U00508,treatment,0
U00509,treatment,0
U00510,treatment,0
U00511,treatment,1
U00512,treatment,0
U00513,treatment,0
U00514,treatment,0
U00515,control,0
U00516,control,0
U00517,control,0
U00518,treatment,0
U00519,treatment,0
U00520,treatment,0
U00521,control,0
U00522,treatment,0
U00523,treatment,0
U00524,treatment,0
U00525,treatment,0
U00526,control,0
U00527,control,0
U00528,treatment,0
U00529,treatment,0
U00530,treatment,0
U00531,control,0
U00532,treatment,0
U00533,control,0
U00534,control,0
U00535,treatment,0
U00536,control,0
U00537,control,0
U00538,control,0
U00539,control,0
U00540,control,0
U00541,treatment,1
U00542,control,1
U00543,control,0
U00544,control,0
U00545,control,0
U00546,treatment,0
U00547,treatment,0
U00548,treatment,0
U00549,control,1
U00550,treatment,0
U00551,control,0
U00552,control,0
U00553,control,0
U00554,treatment,0
U00555,control,0
U00556,control,0
U00557,control,0
U00558,control,0
U00559,treatment,0
U00560,treatment,0
U00561,treatment,0
U00562,treatment,0
U00563,treatment,0
U00564,control,0
U00565,control,1
U00566,treatment,0
U00567,control,0
U00568,control,0
U00569,control,0
U00570,control,0
U00571,treatment,0
U00572,control,0
U00573,control,0
U00574,control,0
U00575,control,0
U00576,treatment,0
U00577,control,0
U00578,control,0
U00579,treatment,0
U00580,control,0
U00581,treatment,0
U00582,control,0
U00583,control,0
U00584,control,0
U00585,control,0
U00586,control,0
U00587,control,0
U00588,control,0
U00589,treatment,1
U00590,control,0
U00591,control,0
U00592,control,0
U00593,control,0
U00594,treatment,0
U00595,treatment,0
U00596,control,0
U00597,treatment,0
U00598,control,0
U00599,treatment,0
U00600,control,0
U00601,treatment,0
U00602,control,1
U00603,control,0
U00604,treatment,0
U00605,control,0
U00606,treatment,0
U00607,control,0
U00608,treatment,0
U00609,control,0
U00610,treatment,0
U00611,treatment,0
U00612,control,0
U00613,control,0
U00614,treatment,0
U00615,control,0
U00616,treatment,0
U00617,control,0
U00618,control,0
U00619,control,0
U00620,treatment,0
U00621,treatment,0
U00622,treatment,0
U00623,control,0
U00624,treatment,0
U00625,treatment,0
U00626,treatment,0
U00627,control,0
U00628,treatment,0
U00629,control,0
U00630,treatment,0
U00631,control,0
U00632,control,0
U00633,control,0
U00634,control,0
U00635,treatment,0
U00636,treatment,0
U00637,control,0
U00638,control,0
U00639,treatment,0
U00640,treatment,0
U00641,treatment,0
U00642,treatment,0
U00643,control,1
U00644,treatment,0
U00645,control,0
U00646,treatment,0
U00647,control,0
U00648,control,0
U00649,control,0
U00650,treatment,0
U00651,control,0
U00652,control,0
U00653,treatment,0
U00654,treatment,0
U00655,control,0
U00656,control,0
U00657,treatment,0
U00658,control,0
U00659,treatment,0
U00660,treatment,1
U00661,treatment,0
U00662,control,0
U00663,treatment,0
U00664,treatment,0
U00665,control,0
U00666,treatment,0
U00667,control,0
U00668,control,0
U00669,control,0
U00670,control,0
U00671,treatment,0
U00672,treatment,0
U00673,treatment,0
U00674,control,0
U00675,control,0
U00676,control,0
U00677,control,0
U00678,treatment,0
U00679,treatment,0
U00680,treatment,0
U00681,control,0
U00682,control,0
U00683,treatment,0
U00684,treatment,0
U00685,control,0
U00686,control,0
U00687,control,0
U00688,control,0
U00689,control,0
U00690,treatment,0
U00691,treatment,0
U00692,control,0
U00693,treatment,1
U00694,treatment,0
U00695,control,0
U00696,control,0
U00697,control,0
U00698,control,0
U00699,control,0
U00700,control,0
U00701,control,0
U00702,control,0
U00703,control,0
U00704,control,1
U00705,control,0
U00706,control,0
U00707,treatment,0
U00708,treatment,0
U00709,treatment,0
U00710,treatment,0
U00711,treatment,0
U00712,control,0
U00713,control,0
U00714,control,0
U00715,treatment,0
U00716,control,0
U00717,treatment,0
U00718,treatment,0
U00719,treatment,0
U00720,treatment,0
U00721,treatment,0
U00722,control,0
U00723,treatment,0
U00724,control,0
U00725,control,0
U00726,control,0
U00727,treatment,0
U00728,control,0
U00729,treatment,0
U00730,treatment,0
U00731,control,0
U00732,treatment,0
U00733,treatment,0
U00734,treatment,0
U00735,treatment,0
U00736,treatment,0
U00737,treatment,0
U00738,treatment,0
U00739,treatment,0
U00740,treatment,0
U00741,control,0
U00742,control,0
U00743,treatment,0
U00744,control,0
U00745,control,0
U00746,control,0
U00747,treatment,0
U00748,treatment,0
U00749,control,0
U00750,control,0
U00751,control,0
U00752,treatment,0
U00753,treatment,0
U00754,treatment,0
U00755,treatment,0
U00756,control,0
U00757,treatment,0
U00758,treatment,0
U00759,control,0
U00760,control,0
U00761,treatment,0
U00762,treatment,0
U00763,control,0
U00764,control,0
U00765,treatment,1
U00766,treatment,0
U00767,control,0
U00768,treatment,0
U00769,treatment,0
U00770,treatment,0
U00771,treatment,0
U00772,control,0
U00773,control,0
U00774,control,0
U00775,control,0
U00776,control,0
U00777,treatment,0
U00778,treatment,1
U00779,treatment,0
U00780,treatment,0
U00781,treatment,0
